,symbol,date,stop,targets,trades
434,APLS,2023-02-23,62.9,"[67.47999999999999, 69.77]","[(1677819600000, 65.19, 1), (1678424400000, 62.9, -1)]"
435,APLS,2023-04-03,76.1964,"[81.42360000000001, 84.03720000000001]","[(1681099200000, 78.81, 1), (1681704000000, 81.42360000000001, -0.5), (1682568000000, 78.14, -0.5)]"
436,APLS,2023-05-05,88.7,"[91.99, 93.63499999999999]","[(1683691200000, 90.345, 1), (1683777600000, 88.7, -1)]"
437,COHR,2023-06-16,45.39,"[49.05, 50.879999999999995]","[(1687752000000, 47.22, 1), (1687838400000, 45.39, -1)]"
438,ZION,2023-05-23,28.26,"[30.279999999999998, 31.289999999999996]","[(1684987200000, 29.27, 1), (1685073600000, 28.26, -1)]"
439,AA,2023-06-13,33.88,"[35.88, 36.88]","[(1687320000000, 34.88, 1), (1687406400000, 33.88, -1)]"
440,CROX,2023-02-16,116.65,"[133.76999999999998, 142.32999999999998]","[(1677128400000, 125.21, 1), (1678424400000, 116.65, -1)]"
441,CROX,2023-03-31,125.25,"[132.29000000000002, 135.81000000000003]","[(1680580800000, 128.77, 1), (1680667200000, 125.25, -1)]"
442,MARA,2023-03-17,7.61,"[9.39, 10.28]","[(1679371200000, 8.5, 1), (1679630400000, 7.61, -1)]"
443,MARA,2023-04-11,9.69,"[11.47, 12.360000000000001]","[(1681358400000, 10.58, 1), (1681444800000, 11.47, -0.5), (1681963200000, 9.45, -0.5)]"
444,MARA,2023-04-14,10.93,"[12.370000000000001, 13.090000000000002]","[(1681790400000, 11.65, 1), (1681876800000, 10.93, -1)]"
445,MARA,2023-06-20,11.14,"[14.219999999999999, 15.759999999999998]","[(1687492800000, 12.68, 1), (1688011200000, 14.219999999999999, -0.5), (1689652800000, 16.55, -0.5)]"
446,MARA,2023-06-21,11.14,"[14.219999999999999, 15.759999999999998]","[(1687492800000, 12.68, 1), (1688011200000, 14.219999999999999, -0.5), (1689652800000, 16.55, -0.5)]"
447,FIVN,2023-05-31,67.97,"[72.86000000000001, 75.30500000000002]","[(1686024000000, 70.415, 1), (1686110400000, 72.86000000000001, -0.5), (1687320000000, 73.16, -0.5)]"
448,FIVN,2023-06-30,78.54,"[82.7, 84.78]","[(1688702400000, 80.62, 1), (1688961600000, 82.7, -0.5), (1690171200000, 84.06, -0.5)]"
449,WOLF,2023-06-13,49.86,"[53.64, 55.53]","[(1687406400000, 51.75, 1), (1687492800000, 49.86, -1)]"
450,PBF,2023-02-16,41.66,"[47.42, 50.300000000000004]","[(1677042000000, 44.54, 1), (1677214800000, 41.66, -1)]"
451,PBF,2023-05-26,35.46,"[38.580000000000005, 40.14000000000001]","[(1685678400000, 37.02, 1), (1686024000000, 38.580000000000005, -0.5), (1687233600000, 39.03, -0.5)]"
452,PBF,2023-06-07,40.39,"[42.67, 43.81]","[(1686628800000, 41.53, 1), (1686715200000, 40.39, -1)]"
453,M,2023-06-13,15.71,"[16.61, 17.06]","[(1686888000000, 16.16, 1), (1687233600000, 15.71, -1)]"
454,GME,2023-06-13,23.72,"[25.58, 26.509999999999998]","[(1687320000000, 24.65, 1), (1687492800000, 23.72, -1)]"
455,RIG,2023-02-01,6.8,"[7.62, 8.030000000000001]","[(1675400400000, 7.21, 1), (1675659600000, 6.8, -1)]"
456,RIG,2023-03-29,6.32,"[6.76, 6.9799999999999995]","[(1680494400000, 6.54, 1), (1680580800000, 6.76, -0.5), (1680667200000, 6.34, -0.5)]"
457,RIG,2023-04-03,6.34,"[6.640000000000001, 6.790000000000001]","[(1681099200000, 6.49, 1), (1681185600000, 6.640000000000001, -0.5), (1681272000000, 6.49, -0.5)]"
458,RIG,2023-06-29,7.05,"[7.7299999999999995, 8.07]","[(1688702400000, 7.39, 1), (1688961600000, 7.7299999999999995, -0.5), (1689912000000, 8.01, -0.5)]"
