symbol,date,entry,stop,target,success
USB,2023-03-21,34.94,34.0068,35.8732,True
USB,2023-03-29,36.06,35.1,37.02,False
USB,2023-05-05,30.25,29.01,31.49,False
USB,2023-06-16,32.51,31.83,33.19,True
USB,2023-06-30,33.06,32.05,34.07000000000001,True
PYPL,2023-02-02,81.8,78.095,85.505,False
PYPL,2023-06-02,64.06,62.43,65.69,True
SNOW,2023-02-01,161.5,154.415,168.585,True
SNOW,2023-02-02,161.5,154.415,168.585,True
SNOW,2023-03-21,141.1006,135.0256,147.17559999999997,False
SNOW,2023-03-30,146.06,140.88,151.24,False
SNOW,2023-04-18,144.13,141.74,146.51999999999998,False
SNOW,2023-04-26,147.05,143.54,150.56000000000003,True
SNOW,2023-06-28,173.1021,167.485,178.7192,False
SNOW,2023-07-31,164.72,159.53,169.91,False
SNOW,2023-08-21,153.6,146.87,160.32999999999998,True
SNOW,2023-12-14,196.95,193.742,200.158,True
TEAM,2023-02-01,172.88,158.41,187.35,True
TEAM,2023-02-02,172.88,158.41,187.35,True
TEAM,2023-03-30,158.72,148.68,168.76,True
TEAM,2023-04-27,150.51,146.0,155.01999999999998,False
TEAM,2023-05-10,135.94,132.32,139.56,True
TEAM,2023-06-06,171.62,163.46,179.78,True
TEAM,2023-09-11,208.44,200.545,216.335,False
TEAM,2023-10-24,179.64,173.5812,185.69879999999998,False
BN,2023-03-21,29.98,29.1,30.86,True
BN,2023-03-31,31.53,30.9,32.160000000000004,True
CRWD,2023-02-15,114.29,110.46,118.12000000000002,True
CRWD,2023-03-06,123.6,118.23,128.96999999999997,True
CRWD,2023-03-08,123.6,118.23,128.96999999999997,True
CRWD,2023-05-30,154.76,148.24,161.27999999999997,False
CRWD,2023-06-13,154.0,150.68,157.32,True
CRWD,2023-07-19,151.785,147.15,156.42,True
CRWD,2023-08-10,150.078,146.86,153.296,False
CRWD,2023-08-21,147.99,142.36,153.62,True
CRWD,2023-09-11,168.2107,163.44,172.9814,False
CRWD,2023-09-27,165.045,162.19,167.89999999999998,True
FCX,2023-02-21,39.9391,39.01,40.86820000000001,True
FCX,2023-03-17,38.205,36.75,39.66,True
FCX,2023-03-20,38.205,36.75,39.66,True
FCX,2023-03-21,38.205,36.75,39.66,True
FCX,2023-04-03,40.38,39.53,41.230000000000004,True
PNC,2023-03-21,124.17,119.27,129.07,True
PNC,2023-03-27,126.97,124.0,129.94,True
PNC,2023-03-29,123.19,120.325,126.05499999999999,False
PNC,2023-05-05,116.59,114.57,118.61000000000001,False
PNC,2023-05-23,119.36,117.86,120.86,False
NXPI,2023-06-16,191.93,188.5,195.36,True
