,symbol,date,stop,targets,trades
0,AAPL,2023-05-11,170.76,"[177.84000000000003, 181.38000000000005, 184.92000000000007]","[(Timestamp('2023-05-11 00:00:00'), 174.3, 1), (Timestamp('2023-05-17 00:00:00'), 170.76, -1)]"
1,MSFT,2023-04-27,292.73,"[306.40999999999997, 313.24999999999994, 320.0899999999999]","[(Timestamp('2023-04-27 00:00:00'), 299.57, 1), (Timestamp('2023-04-28 00:00:00'), 306.40999999999997, -0.5), (Timestamp('2023-05-16 00:00:00'), 313.24999999999994, -0.25), (Timestamp('2023-05-22 00:00:00'), 320.0899999999999, -0.25)]"
2,GOOG,2023-05-15,114.9301,"[121.9499, 125.4598, 128.9697]","[(Timestamp('2023-05-15 00:00:00'), 118.44, 1), (Timestamp('2023-05-17 00:00:00'), 121.9499, -0.5), (Timestamp('2023-05-19 00:00:00'), 125.4598, -0.25), (Timestamp('2023-06-07 00:00:00'), 128.9697, -0.25)]"
3,GOOGL,2023-05-12,114.41,"[121.43, 124.94000000000001, 128.45000000000002]","[(Timestamp('2023-05-12 00:00:00'), 117.92, 1), (Timestamp('2023-05-17 00:00:00'), 121.43, -0.5), (Timestamp('2023-05-19 00:00:00'), 124.94000000000001, -0.25), (Timestamp('2023-06-07 00:00:00'), 128.45000000000002, -0.25)]"
4,GOOGL,2023-02-07,105.61,"[110.08999999999999, 112.32999999999998, 114.56999999999998]","[(Timestamp('2023-02-07 00:00:00'), 107.85, 1), (Timestamp('2023-02-07 00:00:00'), 105.61, -1)]"
5,AMZN,2023-10-30,125.52,"[134.52000000000004, 139.02000000000004, 143.52000000000004]","[(Timestamp('2023-10-30 00:00:00'), 130.02, 1), (Timestamp('2023-11-01 00:00:00'), 134.52000000000004, -0.5), (Timestamp('2023-11-03 00:00:00'), 139.02000000000004, -0.25), (Timestamp('2023-11-10 00:00:00'), 143.52000000000004, -0.25)]"
6,NVDA,2023-05-30,366.35,"[423.25, 451.7, 480.15]","[(Timestamp('2023-05-30 00:00:00'), 394.8, 1), (Timestamp('2023-06-14 00:00:00'), 423.25, -0.5), (Timestamp('2023-07-13 00:00:00'), 451.7, -0.25), (Timestamp('2023-07-14 00:00:00'), 480.15, -0.25)]"
7,META,2023-07-28,309.84,"[340.86000000000007, 356.3700000000001, 371.88000000000017]","[(Timestamp('2023-07-28 00:00:00'), 325.35, 1), (Timestamp('2023-08-09 00:00:00'), 309.84, -1)]"
8,META,2023-05-01,236.77,"[246.6, 251.515, 256.42999999999995]","[(Timestamp('2023-05-01 00:00:00'), 241.685, 1), (Timestamp('2023-05-01 00:00:00'), 236.77, -1)]"
9,LLY,2023-08-14,502.71,"[573.29, 608.58, 643.8700000000001]","[(Timestamp('2023-08-14 00:00:00'), 538.0, 1), (Timestamp('2023-09-07 00:00:00'), 573.29, -0.5), (Timestamp('2023-10-02 00:00:00'), 538.29, -0.5)]"
10,AVGO,2023-03-06,615.75,"[655.71, 675.69, 695.6700000000001]","[(Timestamp('2023-03-06 00:00:00'), 635.73, 1), (Timestamp('2023-03-10 00:00:00'), 615.75, -1)]"
11,JPM,2023-04-17,134.9001,"[143.3399, 147.5598, 151.7797]","[(Timestamp('2023-04-17 00:00:00'), 139.12, 1), (Timestamp('2023-04-26 00:00:00'), 134.9001, -1)]"
12,UNH,2023-07-18,460.11,"[509.89, 534.78, 559.67]","[(Timestamp('2023-07-18 00:00:00'), 485.0, 1), (Timestamp('2023-07-19 00:00:00'), 509.89, -0.5), (Timestamp('2023-09-05 00:00:00'), 480.81, -0.5)]"
13,JNJ,2023-04-06,162.76,"[168.56, 171.46, 174.36]","[(Timestamp('2023-04-06 00:00:00'), 165.66, 1), (Timestamp('2023-04-18 00:00:00'), 162.76, -1)]"
14,HD,2023-11-15,300.1401,"[316.33969999999994, 324.4394999999999, 332.53929999999986]","[(Timestamp('2023-11-15 00:00:00'), 308.2399, 1), (Timestamp('2023-12-01 00:00:00'), 316.33969999999994, -0.5), (Timestamp('2023-12-04 00:00:00'), 324.4394999999999, -0.25), (Timestamp('2023-12-12 00:00:00'), 332.53929999999986, -0.25)]"
15,ORCL,2023-06-13,114.34,"[120.68, 123.85000000000001, 127.02000000000001]","[(Timestamp('2023-06-13 00:00:00'), 117.51, 1), (Timestamp('2023-06-13 00:00:00'), 120.68, -0.5), (Timestamp('2023-06-15 00:00:00'), 123.85000000000001, -0.25), (Timestamp('2023-06-16 00:00:00'), 127.02000000000001, -0.25)]"
16,CRM,2023-12-01,243.65,"[261.35, 270.2, 279.04999999999995]","[(Timestamp('2023-12-01 00:00:00'), 252.5, 1), (Timestamp('2023-12-01 00:00:00'), 261.35, -0.5), (Timestamp('2024-01-11 00:00:00'), 270.2, -0.25), (Timestamp('2024-01-19 00:00:00'), 279.04999999999995, -0.25)]"
17,CRM,2023-01-24,153.23,"[162.51000000000002, 167.15000000000003, 171.79000000000005]","[(Timestamp('2023-01-24 00:00:00'), 157.87, 1), (Timestamp('2023-01-25 00:00:00'), 153.23, -1)]"
18,AMD,2023-12-08,119.56,"[137.8, 146.92000000000002, 156.04000000000002]","[(Timestamp('2023-12-08 00:00:00'), 128.68, 1), (Timestamp('2023-12-12 00:00:00'), 137.8, -0.5), (Timestamp('2023-12-28 00:00:00'), 146.92000000000002, -0.25), (Timestamp('2024-01-16 00:00:00'), 156.04000000000002, -0.25)]"
19,AMD,2023-02-02,77.88,"[93.08000000000001, 100.68000000000002, 108.28000000000003]","[(Timestamp('2023-02-02 00:00:00'), 85.48, 1), (Timestamp('2023-02-17 00:00:00'), 77.88, -1)]"
20,NFLX,2023-10-20,392.2601,"[425.63989999999995, 442.3297999999999, 459.0196999999999]","[(Timestamp('2023-10-20 00:00:00'), 408.95, 1), (Timestamp('2023-11-02 00:00:00'), 425.63989999999995, -0.5), (Timestamp('2023-11-10 00:00:00'), 442.3297999999999, -0.25), (Timestamp('2023-11-15 00:00:00'), 459.0196999999999, -0.25)]"
21,NFLX,2023-03-24,304.14,"[341.41999999999996, 360.05999999999995, 378.69999999999993]","[(Timestamp('2023-03-24 00:00:00'), 322.78, 1), (Timestamp('2023-03-30 00:00:00'), 341.41999999999996, -0.5), (Timestamp('2023-05-12 00:00:00'), 339.89, -0.5)]"
22,NFLX,2023-01-23,332.625,"[355.375, 366.75, 378.125]","[(Timestamp('2023-01-23 00:00:00'), 344.0, 1), (Timestamp('2023-01-23 00:00:00'), 355.375, -0.5), (Timestamp('2023-01-25 00:00:00'), 366.75, -0.25), (Timestamp('2023-02-03 00:00:00'), 378.125, -0.25)]"
23,INTC,2023-10-31,34.6,"[38.160000000000004, 39.940000000000005, 41.720000000000006]","[(Timestamp('2023-10-31 00:00:00'), 36.38, 1), (Timestamp('2023-11-03 00:00:00'), 38.160000000000004, -0.5), (Timestamp('2023-11-15 00:00:00'), 39.940000000000005, -0.25), (Timestamp('2023-11-16 00:00:00'), 41.720000000000006, -0.25)]"
24,INTC,2023-07-31,35.51,"[38.470000000000006, 39.95000000000001, 41.430000000000014]","[(Timestamp('2023-07-31 00:00:00'), 36.99, 1), (Timestamp('2023-08-01 00:00:00'), 35.51, -1)]"
25,ABT,2023-10-19,91.65,"[101.35, 106.19999999999999, 111.04999999999998]","[(Timestamp('2023-10-19 00:00:00'), 96.5, 1), (Timestamp('2023-10-30 00:00:00'), 91.65, -1)]"
26,DIS,2023-11-14,87.6,"[94.82, 98.42999999999999, 102.03999999999999]","[(Timestamp('2023-11-14 00:00:00'), 91.21, 1), (Timestamp('2023-11-17 00:00:00'), 94.82, -0.5), (Timestamp('2024-01-02 00:00:00'), 90.71, -0.5)]"
27,QCOM,2023-11-03,114.45,"[123.71, 128.33999999999997, 132.96999999999997]","[(Timestamp('2023-11-03 00:00:00'), 119.08, 1), (Timestamp('2023-11-10 00:00:00'), 123.71, -0.5), (Timestamp('2023-11-15 00:00:00'), 128.33999999999997, -0.25), (Timestamp('2023-12-07 00:00:00'), 132.96999999999997, -0.25)]"
28,QCOM,2023-09-12,108.82,"[114.86000000000001, 117.88000000000002, 120.90000000000003]","[(Timestamp('2023-09-12 00:00:00'), 111.84, 1), (Timestamp('2023-09-15 00:00:00'), 114.86000000000001, -0.5), (Timestamp('2023-09-21 00:00:00'), 108.82, -0.5)]"
29,BX,2023-09-07,107.44,"[110.68, 112.30000000000001, 113.92000000000002]","[(Timestamp('2023-09-07 00:00:00'), 109.06, 1), (Timestamp('2023-09-07 00:00:00'), 107.44, -1)]"
30,BX,2023-04-19,89.95,"[95.54, 98.33500000000001, 101.13000000000001]","[(Timestamp('2023-04-19 00:00:00'), 92.745, 1), (Timestamp('2023-04-21 00:00:00'), 89.95, -1)]"
31,VZ,2023-10-25,32.97,"[35.95, 37.440000000000005, 38.93000000000001]","[(Timestamp('2023-10-25 00:00:00'), 34.46, 1), (Timestamp('2023-11-03 00:00:00'), 35.95, -0.5), (Timestamp('2023-11-21 00:00:00'), 37.440000000000005, -0.25), (Timestamp('2023-12-13 00:00:00'), 36.99, -0.25)]"
32,VZ,2023-07-24,33.16,"[35.16, 36.16, 37.16]","[(Timestamp('2023-07-24 00:00:00'), 34.16, 1), (Timestamp('2023-08-03 00:00:00'), 33.16, -1)]"
33,BA,2023-11-14,202.51,"[211.18720000000002, 215.52580000000003, 219.86440000000005]","[(Timestamp('2023-11-14 00:00:00'), 206.8486, 1), (Timestamp('2023-11-20 00:00:00'), 211.18720000000002, -0.5), (Timestamp('2023-11-21 00:00:00'), 215.52580000000003, -0.25), (Timestamp('2023-11-22 00:00:00'), 219.86440000000005, -0.25)]"
34,BA,2023-07-27,221.77,"[244.41, 255.73, 267.04999999999995]","[(Timestamp('2023-07-27 00:00:00'), 233.09, 1), (Timestamp('2023-08-18 00:00:00'), 221.77, -1)]"
35,IBM,2023-10-27,141.58,"[147.23999999999998, 150.06999999999996, 152.89999999999995]","[(Timestamp('2023-10-27 00:00:00'), 144.41, 1), (Timestamp('2023-11-03 00:00:00'), 147.23999999999998, -0.5), (Timestamp('2023-11-14 00:00:00'), 150.06999999999996, -0.25), (Timestamp('2023-11-15 00:00:00'), 152.89999999999995, -0.25)]"
36,NOW,2023-10-31,548.86,"[609.14, 639.28, 669.42]","[(Timestamp('2023-10-31 00:00:00'), 579.0, 1), (Timestamp('2023-11-02 00:00:00'), 609.14, -0.5), (Timestamp('2023-11-13 00:00:00'), 639.28, -0.25), (Timestamp('2023-11-21 00:00:00'), 669.42, -0.25)]"
37,SPGI,2023-11-03,365.0,"[394.64, 409.46, 424.28]","[(Timestamp('2023-11-03 00:00:00'), 379.82, 1), (Timestamp('2023-11-13 00:00:00'), 394.64, -0.5), (Timestamp('2023-11-20 00:00:00'), 409.46, -0.25), (Timestamp('2023-12-01 00:00:00'), 424.28, -0.25)]"
38,AXP,2023-01-30,165.5,"[185.58319999999998, 195.62479999999996, 205.66639999999995]","[(Timestamp('2023-01-30 00:00:00'), 175.5416, 1), (Timestamp('2023-03-10 00:00:00'), 165.5, -1)]"
39,UBER,2023-12-07,58.57,"[63.27, 65.62, 67.97]","[(Timestamp('2023-12-07 00:00:00'), 60.92, 1), (Timestamp('2023-12-15 00:00:00'), 63.27, -0.5), (Timestamp('2024-01-02 00:00:00'), 58.57, -0.5)]"
40,UBER,2023-05-02,31.76,"[34.239999999999995, 35.48, 36.72]","[(Timestamp('2023-05-02 00:00:00'), 33.0, 1), (Timestamp('2023-05-02 00:00:00'), 34.239999999999995, -0.5), (Timestamp('2023-05-03 00:00:00'), 35.48, -0.25), (Timestamp('2023-05-04 00:00:00'), 36.72, -0.25)]"
41,SCHW,2023-07-19,64.0,"[69.9, 72.85000000000001, 75.80000000000001]","[(Timestamp('2023-07-19 00:00:00'), 66.95, 1), (Timestamp('2023-08-08 00:00:00'), 64.0, -1)]"
42,RTX,2023-10-25,76.96,"[80.64, 82.48, 84.32000000000001]","[(Timestamp('2023-10-25 00:00:00'), 78.8, 1), (Timestamp('2023-10-31 00:00:00'), 80.64, -0.5), (Timestamp('2023-11-01 00:00:00'), 82.48, -0.25), (Timestamp('2023-12-13 00:00:00'), 83.22, -0.25)]"
43,T,2023-10-20,15.16,"[16.15, 16.644999999999996, 17.139999999999997]","[(Timestamp('2023-10-20 00:00:00'), 15.655, 1), (Timestamp('2023-10-23 00:00:00'), 15.16, -1)]"
44,T,2023-07-20,14.27,"[15.010000000000002, 15.380000000000003, 15.750000000000004]","[(Timestamp('2023-07-20 00:00:00'), 14.64, 1), (Timestamp('2023-07-24 00:00:00'), 15.010000000000002, -0.5), (Timestamp('2023-08-01 00:00:00'), 14.27, -0.5)]"
45,SYK,2023-06-16,290.995,"[309.025, 318.03999999999996, 327.05499999999995]","[(Timestamp('2023-06-16 00:00:00'), 300.01, 1), (Timestamp('2023-07-24 00:00:00'), 290.995, -1)]"
46,SYK,2023-02-02,267.0,"[293.91999999999996, 307.37999999999994, 320.8399999999999]","[(Timestamp('2023-02-02 00:00:00'), 280.46, 1), (Timestamp('2023-02-07 00:00:00'), 267.0, -1)]"
47,DE,2023-02-21,415.5,"[457.26, 478.14, 499.02]","[(Timestamp('2023-02-21 00:00:00'), 436.38, 1), (Timestamp('2023-02-24 00:00:00'), 415.5, -1)]"
48,LMT,2023-10-10,423.39,"[449.81000000000006, 463.0200000000001, 476.23000000000013]","[(Timestamp('2023-10-10 00:00:00'), 436.6, 1), (Timestamp('2023-10-17 00:00:00'), 449.81000000000006, -0.5), (Timestamp('2023-11-28 00:00:00'), 448.27, -0.5)]"
49,SBUX,2023-11-03,99.74,"[104.10000000000001, 106.28000000000002, 108.46000000000002]","[(Timestamp('2023-11-03 00:00:00'), 101.92, 1), (Timestamp('2023-11-07 00:00:00'), 104.10000000000001, -0.5), (Timestamp('2023-11-15 00:00:00'), 106.28000000000002, -0.25), (Timestamp('2023-11-29 00:00:00'), 99.74, -0.25)]"
50,VRTX,2023-12-14,372.7978,"[439.2022, 472.4044, 505.6066]","[(Timestamp('2023-12-14 00:00:00'), 406.0, 1), (Timestamp('2024-01-17 00:00:00'), 439.2022, -0.5), (Timestamp('2024-01-23 00:00:00'), 439.7, -0.5)]"
51,LRCX,2023-07-28,673.32,"[758.5600000000001, 801.1800000000001, 843.8000000000001]","[(Timestamp('2023-07-28 00:00:00'), 715.94, 1), (Timestamp('2023-08-11 00:00:00'), 673.32, -1)]"
52,UBS,2023-12-22,30.0,"[31.86, 32.79, 33.72]","[(Timestamp('2023-12-22 00:00:00'), 30.93, 1), (Timestamp('2024-01-03 00:00:00'), 30.0, -1)]"
53,UBS,2023-08-14,22.9,"[23.840000000000003, 24.310000000000006, 24.78000000000001]","[(Timestamp('2023-08-14 00:00:00'), 23.37, 1), (Timestamp('2023-08-22 00:00:00'), 23.840000000000003, -0.5), (Timestamp('2023-08-23 00:00:00'), 24.310000000000006, -0.25), (Timestamp('2023-08-24 00:00:00'), 24.78000000000001, -0.25)]"
54,SHOP,2023-11-03,55.507,"[64.793, 69.436, 74.07900000000001]","[(Timestamp('2023-11-03 00:00:00'), 60.15, 1), (Timestamp('2023-11-14 00:00:00'), 64.793, -0.5), (Timestamp('2023-11-20 00:00:00'), 69.436, -0.25), (Timestamp('2023-11-27 00:00:00'), 74.07900000000001, -0.25)]"
55,SHOP,2023-09-01,63.28,"[70.41999999999999, 73.98999999999998, 77.55999999999997]","[(Timestamp('2023-09-01 00:00:00'), 66.85, 1), (Timestamp('2023-09-08 00:00:00'), 63.28, -1)]"
56,SHOP,2023-05-05,53.88,"[65.75999999999999, 71.69999999999999, 77.63999999999999]","[(Timestamp('2023-05-05 00:00:00'), 59.82, 1), (Timestamp('2023-06-13 00:00:00'), 65.75999999999999, -0.5), (Timestamp('2023-06-23 00:00:00'), 63.79, -0.5)]"
57,SHOP,2023-04-17,45.22,"[52.28, 55.81, 59.34]","[(Timestamp('2023-04-17 00:00:00'), 48.75, 1), (Timestamp('2023-05-04 00:00:00'), 52.28, -0.5), (Timestamp('2023-05-05 00:00:00'), 55.81, -0.25), (Timestamp('2023-05-08 00:00:00'), 59.34, -0.25)]"
58,MU,2023-12-22,83.11,"[88.92999999999999, 91.83999999999999, 94.74999999999999]","[(Timestamp('2023-12-22 00:00:00'), 86.02, 1), (Timestamp('2024-01-02 00:00:00'), 83.11, -1)]"
59,MU,2023-04-11,61.0,"[66.54, 69.31, 72.08000000000001]","[(Timestamp('2023-04-11 00:00:00'), 63.77, 1), (Timestamp('2023-04-13 00:00:00'), 61.0, -1)]"
60,ETN,2023-05-26,172.67,"[181.93000000000004, 186.56000000000006, 191.19000000000008]","[(Timestamp('2023-05-26 00:00:00'), 177.3, 1), (Timestamp('2023-05-26 00:00:00'), 181.93000000000004, -0.5), (Timestamp('2023-06-02 00:00:00'), 186.56000000000006, -0.25), (Timestamp('2023-06-13 00:00:00'), 191.19000000000008, -0.25)]"
61,PANW,2023-05-25,194.08,"[220.67979999999997, 233.97969999999995, 247.27959999999993]","[(Timestamp('2023-05-25 00:00:00'), 207.3799, 1), (Timestamp('2023-06-05 00:00:00'), 220.67979999999997, -0.5), (Timestamp('2023-06-13 00:00:00'), 233.97969999999995, -0.25), (Timestamp('2023-06-16 00:00:00'), 247.27959999999993, -0.25)]"
62,PANW,2023-02-23,182.3,"[195.277, 201.76549999999997, 208.25399999999996]","[(Timestamp('2023-02-23 00:00:00'), 188.7885, 1), (Timestamp('2023-03-15 00:00:00'), 182.3, -1)]"
63,PGR,2023-10-16,149.64,"[161.1128, 166.8492, 172.5856]","[(Timestamp('2023-10-16 00:00:00'), 155.3764, 1), (Timestamp('2023-11-09 00:00:00'), 161.1128, -0.5), (Timestamp('2023-12-04 00:00:00'), 163.41, -0.5)]"
