,symbol,date,stop,targets,trades
311,EQT,2023-06-05,37.23,"[37.49, 37.620000000000005]","[(1685972160000, 37.36, 1), (1685972220000, 37.23, -1)]"
312,SYF,2023-03-27,28.85,"[29.07, 29.18]","[(1679923980000, 28.96, 1), (1679924160000, 28.85, -1)]"
313,SYF,2023-04-19,30.8614,"[31.578599999999998, 31.937199999999997]","[(1681911360000, 31.22, 1), (1681911480000, 30.8614, -1)]"
314,CFG,2023-03-27,31.54,"[31.82, 31.96]","[(1679924160000, 31.68, 1), (1679924220000, 31.82, -0.5), (1679924280000, 31.54, -0.5)]"
315,CFG,2023-05-05,25.63,"[25.790000000000003, 25.870000000000005]","[(1683293640000, 25.71, 1), (1683293700000, 25.790000000000003, -0.5), (1683293760000, 25.870000000000005, -0.5)]"
316,CFG,2023-05-08,26.77,"[27.19, 27.400000000000002]","[(1683552720000, 26.98, 1), (1683552840000, 26.77, -1)]"
317,MGM,2023-02-09,44.08,"[44.980000000000004, 45.43000000000001]","[(1675953180000, 44.53, 1), (1675953360000, 44.980000000000004, -0.5), (1675953840000, 45.17, -0.5)]"
318,MGM,2023-04-12,44.12,"[44.36000000000001, 44.48000000000001]","[(1681306380000, 44.24, 1), (1681306440000, 44.12, -1)]"
319,U,2023-02-02,39.38,"[40.279999999999994, 40.72999999999999]","[(1675348500000, 39.83, 1), (1675348560000, 39.38, -1)]"
320,U,2023-03-17,28.61,"[28.85, 28.970000000000002]","[(1679060220000, 28.73, 1), (1679060280000, 28.61, -1)]"
321,U,2023-04-12,31.26,"[31.419999999999998, 31.499999999999996]","[(1681306680000, 31.34, 1), (1681306740000, 31.26, -1)]"
322,U,2023-05-10,28.43,"[28.774, 28.946]","[(1683725700000, 28.602, 1), (1683726060000, 28.43, -1)]"
323,U,2023-05-11,30.0,"[31.28, 31.92]","[(1683811980000, 30.64, 1), (1683812160000, 31.28, -0.5), (1683812520000, 30.76, -0.5)]"
324,U,2023-06-02,30.52,"[30.8366, 30.9949]","[(1685712840000, 30.6783, 1), (1685712900000, 30.8366, -0.5), (1685712960000, 30.64, -0.5)]"
325,U,2023-06-09,36.8,"[37.61, 38.015]","[(1686317580000, 37.205, 1), (1686317640000, 37.61, -0.5), (1686317760000, 37.3, -0.5)]"
326,U,2023-06-16,42.15,"[43.199999999999996, 43.724999999999994]","[(1686922560000, 42.675, 1), (1686922680000, 42.15, -1)]"
327,U,2023-06-27,38.8,"[39.72, 40.18]","[(1687872840000, 39.26, 1), (1687873140000, 39.72, -0.5), (1687873260000, 39.1212, -0.5)]"
328,AFRM,2023-03-30,10.68,"[10.8, 10.860000000000001]","[(1680183240000, 10.74, 1), (1680183300000, 10.68, -1)]"
329,AFRM,2023-04-12,12.11,"[12.350000000000001, 12.470000000000002]","[(1681306320000, 12.23, 1), (1681306500000, 12.11, -1)]"
330,AFRM,2023-06-07,17.9,"[18.46, 18.740000000000002]","[(1686144840000, 18.18, 1), (1686144900000, 18.46, -0.5), (1686144960000, 18.02, -0.5)]"
331,OKTA,2023-02-02,80.5,"[81.74000000000001, 82.36000000000001]","[(1675348380000, 81.12, 1), (1675348500000, 80.5, -1)]"
332,OKTA,2023-03-02,78.0,"[80.53980000000001, 81.80970000000002]","[(1677767580000, 79.2699, 1), (1677767820000, 78, -1)]"
333,OKTA,2023-05-30,89.55,"[90.19000000000001, 90.51000000000002]","[(1685453580000, 89.87, 1), (1685453640000, 90.19000000000001, -0.5), (1685453760000, 90, -0.5)]"
334,MRO,2023-05-05,22.86,"[23.060000000000002, 23.160000000000004]","[(1683293640000, 22.96, 1), (1683293760000, 23.060000000000002, -0.5), (1683293940000, 22.91, -0.5)]"
335,MRO,2023-05-08,23.3,"[23.459999999999997, 23.539999999999996]","[(1683552900000, 23.38, 1), (1683553140000, 23.459999999999997, -0.5), (1683553200000, 23.37, -0.5)]"
336,MRO,2023-06-02,22.88,"[23.12, 23.240000000000002]","[(1685712720000, 23, 1), (1685712780000, 22.88, -1)]"
337,MRO,2023-06-05,23.81,"[23.95, 24.02]","[(1685972280000, 23.88, 1), (1685972340000, 23.81, -1)]"
338,PATH,2023-02-02,17.69,"[17.929999999999996, 18.049999999999994]","[(1675348380000, 17.81, 1), (1675348560000, 17.69, -1)]"
339,PATH,2023-04-12,16.83,"[16.9, 16.935]","[(1681306680000, 16.865, 1), (1681306740000, 16.83, -1)]"
340,PATH,2023-05-30,16.32,"[16.632399999999997, 16.788599999999995]","[(1685453580000, 16.4762, 1), (1685453640000, 16.632399999999997, -0.5), (1685453820000, 16.788599999999995, -0.5)]"
341,PATH,2023-06-02,18.349,"[19.051, 19.401999999999997]","[(1685712720000, 18.7, 1), (1685713020000, 19.051, -0.5), (1685713560000, 19.19, -0.5)]"
342,PATH,2023-06-07,19.41,"[19.610000000000003, 19.710000000000004]","[(1686144720000, 19.51, 1), (1686144780000, 19.610000000000003, -0.5), (1686144840000, 19.710000000000004, -0.5)]"
343,PATH,2023-06-13,18.1143,"[18.2857, 18.371399999999998]","[(1686663180000, 18.2, 1), (1686663360000, 18.1143, -1)]"
344,TWLO,2023-02-02,65.03,"[65.91, 66.35]","[(1675348320000, 65.47, 1), (1675348380000, 65.91, -0.5), (1675348560000, 65.01, -0.5)]"
345,TWLO,2023-02-13,60.55,"[61.85000000000001, 62.500000000000014]","[(1676299020000, 61.2, 1), (1676299080000, 60.55, -1)]"
346,TWLO,2023-06-02,68.1535,"[69.08630000000001, 69.55270000000002]","[(1685712840000, 68.6199, 1), (1685713620000, 68.1535, -1)]"
347,Z,2023-02-13,44.15,"[44.37, 44.48]","[(1676298960000, 44.26, 1), (1676299020000, 44.15, -1)]"
348,Z,2023-02-27,41.97,"[42.43000000000001, 42.66000000000001]","[(1677508380000, 42.2, 1), (1677509160000, 41.97, -1)]"
349,KEY,2023-03-14,13.05,"[13.21, 13.290000000000001]","[(1678800960000, 13.13, 1), (1678801020000, 13.21, -0.5), (1678801140000, 13.05, -0.5)]"
350,KEY,2023-03-27,12.77,"[12.95, 13.04]","[(1679923980000, 12.86, 1), (1679924100000, 12.77, -1)]"
351,KEY,2023-03-30,12.79,"[12.95, 13.03]","[(1680183240000, 12.87, 1), (1680184200000, 12.79, -1)]"
352,KEY,2023-04-14,12.355,"[12.445, 12.49]","[(1681479480000, 12.4, 1), (1681479540000, 12.355, -1)]"
353,KEY,2023-05-05,9.66,"[9.84, 9.93]","[(1683293640000, 9.75, 1), (1683293760000, 9.66, -1)]"
354,KEY,2023-05-08,9.85,"[9.930000000000001, 9.970000000000002]","[(1683553380000, 9.89, 1), (1683553440000, 9.85, -1)]"
355,KEY,2023-06-02,9.83,"[9.959999999999999, 10.024999999999999]","[(1685712900000, 9.895, 1), (1685713080000, 9.959999999999999, -0.5), (1685713620000, 9.92, -0.5)]"
356,EXAS,2023-03-09,66.9149,"[67.8839, 68.3684]","[(1678372380000, 67.3994, 1), (1678372500000, 67.8839, -0.5), (1678372680000, 67.36, -0.5)]"
357,EXAS,2023-06-21,93.59,"[96.44219999999999, 97.86829999999998]","[(1687354560000, 95.0161, 1), (1687355160000, 96.44219999999999, -0.5), (1687355520000, 95.9, -0.5)]"
358,ROKU,2023-03-30,64.41,"[65.34980000000002, 65.81970000000003]","[(1680183600000, 64.8799, 1), (1680183720000, 64.41, -1)]"
359,ROKU,2023-04-12,64.75,"[65.38999999999999, 65.70999999999998]","[(1681306320000, 65.07, 1), (1681306380000, 65.38999999999999, -0.5), (1681306440000, 64.78, -0.5)]"
360,DINO,2023-04-03,49.5,"[50.120000000000005, 50.43000000000001]","[(1680528900000, 49.81, 1), (1680529080000, 50.120000000000005, -0.5), (1680529140000, 49.8, -0.5)]"
361,DOCU,2023-02-02,64.41,"[64.78999999999999, 64.97999999999999]","[(1675348800000, 64.6, 1), (1675348860000, 64.78999999999999, -0.5), (1675349160000, 65.03, -0.5)]"
362,FND,2023-02-24,89.365,"[90.90500000000002, 91.67500000000003]","[(1677249360000, 90.135, 1), (1677249420000, 89.365, -1)]"
363,RBA,2023-03-06,61.77,"[62.949999999999996, 63.53999999999999]","[(1678113240000, 62.36, 1), (1678113960000, 61.77, -1)]"
364,OVV,2023-04-03,38.39,"[39.290000000000006, 39.74000000000001]","[(1680528780000, 38.84, 1), (1680528900000, 39.290000000000006, -0.5), (1680529140000, 38.89, -0.5)]"
365,OVV,2023-06-05,37.0,"[37.64, 37.96]","[(1685972220000, 37.32, 1), (1685973360000, 37, -1)]"
366,MOS,2023-06-02,32.36,"[32.84, 33.080000000000005]","[(1685712840000, 32.6, 1), (1685713800000, 32.84, -0.5), (1685713920000, 32.72, -0.5)]"
367,NRG,2023-05-15,33.6,"[34.160000000000004, 34.440000000000005]","[(1684157760000, 33.88, 1), (1684157880000, 34.160000000000004, -0.5), (1684157940000, 34.13, -0.5)]"
368,NRG,2023-06-22,34.94,"[35.2, 35.330000000000005]","[(1687440900000, 35.07, 1), (1687440960000, 35.2, -0.5), (1687441020000, 35.045, -0.5)]"
