symbol,date,entry,stop,target,success
GE,2023-10-24 09:30:00,110.9399,108.32,113.5598,1
AXP,2023-03-21 09:30:00,162.32,162.17,162.47,1
AMAT,2023-02-28 09:30:00,115.71,114.85,116.57,1
AMAT,2023-03-14 09:30:00,118.42,118.01,118.83,-1
AMAT,2023-05-25 09:30:00,127.04,126.5,127.58000000000001,1
AMAT,2023-11-14 09:30:00,153.055,152.5156,153.5944,-1
UBER,2023-02-08 09:30:00,37.16,36.8,37.519999999999996,-1
UBER,2023-04-17 09:30:00,31.88,31.78,31.979999999999997,1
UBER,2023-05-02 09:30:00,34.9399,34.23,35.649800000000006,1
UBER,2023-12-04 09:30:00,59.91,59.44,60.379999999999995,-1
SCHW,2023-03-14 09:30:00,56.9,55.37,58.43,-1
SCHW,2023-03-20 09:30:00,58.17,57.8283,58.511700000000005,1
SCHW,2023-03-27 09:30:00,54.75,54.44,55.06,-1
SCHW,2023-05-12 09:30:00,48.71,48.32,49.1,1
SCHW,2023-05-15 09:30:00,50.53,50.39,50.67,-1
SCHW,2023-07-18 09:30:00,64.9,64.0,65.80000000000001,1
SCHW,2023-11-03 09:30:00,56.4,56.09,56.709999999999994,1
SCHW,2023-11-14 09:30:00,55.59,55.18,56.00000000000001,-1
GS,2023-03-21 09:30:00,316.29,315.35,317.23,1
NEE,2023-10-24 09:30:00,53.54,53.11,53.97,1
NEE,2023-11-03 09:30:00,60.91,60.58,61.239999999999995,1
NEE,2023-11-14 09:30:00,55.74,55.45,56.03,1
RTX,2023-10-09 09:30:00,72.5399,72.02,73.05980000000001,1
DE,2023-02-17 09:30:00,419.0,417.45,420.55,-1
DE,2023-06-02 09:30:00,359.27,357.8,360.73999999999995,-1
ELV,2023-10-18 09:30:00,472.76,468.2,477.32,1
LRCX,2023-04-20 09:30:00,512.77,508.11,517.43,1
UBS,2023-03-21 09:30:00,20.13,20.06,20.2,-1
UBS,2023-04-11 09:30:00,21.095,21.06,21.13,1
SHOP,2023-04-27 09:30:00,47.07,46.97,47.17,1
SHOP,2023-05-30 09:30:00,60.34,60.03,60.650000000000006,1
SHOP,2023-06-06 09:30:00,61.1,60.72,61.480000000000004,1
SHOP,2023-07-24 09:30:00,66.92,66.5503,67.28970000000001,1
SHOP,2023-08-31 09:30:00,63.73,63.28,64.17999999999999,1
SHOP,2023-11-02 09:30:00,56.57,55.78,57.36,-1
SHOP,2023-11-27 09:30:00,72.255,71.079,73.431,1
ADI,2023-02-15 09:30:00,192.46,191.41,193.51000000000002,1
C,2023-03-27 09:30:00,44.0,43.88,44.12,1
C,2023-05-05 09:30:00,45.8099,45.67,45.949799999999996,1
MDLZ,2023-11-02 09:30:00,67.73,67.23,68.23,1
MU,2023-05-15 09:30:00,62.0,61.8,62.2,1
MU,2023-05-25 09:30:00,69.22,68.86,69.58,1
MU,2023-07-27 09:30:00,70.82,70.1,71.53999999999999,1
MU,2023-12-06 09:30:00,74.91,74.635,75.18499999999999,-1
MU,2023-12-11 09:30:00,77.315,76.98,77.64999999999999,-1
MU,2023-12-21 09:30:00,84.99,84.15,85.82999999999998,-1
PANW,2023-06-05 09:30:00,226.28,225.28,227.28,1
ABNB,2023-03-14 09:30:00,117.9699,117.66,118.2798,-1
ABNB,2023-05-05 09:30:00,119.32,119.02,119.61999999999999,1
ABNB,2023-11-02 09:30:00,116.58,115.9,117.25999999999999,1
ZTS,2023-02-14 09:30:00,171.0799,168.94,173.21980000000002,1
CI,2023-12-11 09:30:00,296.4033,294.04,298.7666,-1
BSX,2023-11-13 09:30:00,53.61,53.16,54.06,-1
SLB,2023-03-27 09:30:00,45.6103,45.5,45.720600000000005,-1
SLB,2023-04-03 09:30:00,52.69,52.27,53.10999999999999,1
SLB,2023-05-05 09:30:00,46.41,46.21,46.60999999999999,1
SLB,2023-10-09 09:30:00,57.24,56.9725,57.50750000000001,1
ANET,2023-05-25 09:30:00,153.95,152.17,155.73,-1
ANET,2023-08-01 09:30:00,172.74,170.3,175.18,1
ANET,2023-08-31 09:30:00,191.08,190.44,191.72000000000003,1
ANET,2023-10-31 09:30:00,189.8,187.68,191.92000000000002,1
CP,2023-03-15 09:30:00,77.85,76.8,78.89999999999999,-1
STLA,2023-11-02 09:30:00,19.52,19.49,19.55,-1
STLA,2023-11-14 09:30:00,20.13,20.105,20.154999999999998,1
KKR,2023-11-29 09:30:00,72.36,71.59,73.13,1
WDAY,2023-05-26 09:30:00,214.5,211.77,217.23,-1
EOG,2023-10-09 09:30:00,124.28,123.8,124.76,1
CNQ,2023-10-09 09:30:00,64.175,63.88,64.47,1
USB,2023-03-14 09:30:00,38.48,38.2783,38.68169999999999,-1
USB,2023-03-21 09:30:00,36.06,35.8,36.32000000000001,1
USB,2023-03-27 09:30:00,36.72,35.54,37.9,-1
USB,2023-04-14 09:30:00,35.87,35.72,36.019999999999996,-1
USB,2023-05-05 09:30:00,30.59,30.26,30.919999999999998,-1
USB,2023-05-08 09:30:00,31.25,31.15,31.35,-1
USB,2023-05-10 09:30:00,30.29,30.19,30.389999999999997,-1
USB,2023-07-11 09:30:00,34.595,34.29,34.9,-1
USB,2023-07-12 09:30:00,35.67,35.58,35.760000000000005,1
USB,2023-11-03 09:30:00,35.36,35.16,35.56,1
LULU,2023-03-29 09:30:00,363.4,361.0,365.79999999999995,1
LULU,2023-09-01 09:30:00,389.59,385.11,394.06999999999994,1
PYPL,2023-02-02 09:30:00,86.26,85.92,86.60000000000001,1
PYPL,2023-04-11 09:30:00,75.1399,74.96,75.3198,1
PYPL,2023-11-02 09:30:00,53.7099,53.0999,54.3199,-1
TGT,2023-10-12 09:30:00,111.4,110.88,111.92000000000002,-1
SNOW,2023-02-02 09:30:00,173.9534,172.61,175.29679999999996,-1
SNOW,2023-07-27 09:30:00,173.99,172.3,175.68,-1
SNOW,2023-08-04 09:30:00,170.02,168.25,171.79000000000002,-1
SNOW,2023-08-24 09:30:00,156.79,155.55,158.02999999999997,1
SNOW,2023-10-27 09:30:00,144.4399,143.66,145.2198,-1
SNOW,2023-11-07 09:30:00,154.9501,153.85,156.0502,1
TEAM,2023-04-12 09:30:00,167.0,166.4246,167.5754,-1
TEAM,2023-08-04 09:30:00,201.84,200.11,203.57,1
FDX,2023-03-17 09:30:00,224.13,221.73,226.53,-1
CRWD,2023-02-02 09:30:00,116.5099,115.55,117.4698,-1
CRWD,2023-02-08 09:30:00,115.95,115.105,116.795,1
CRWD,2023-03-06 09:30:00,128.56,127.67,129.45,-1
CRWD,2023-03-14 09:30:00,123.54,123.19,123.89000000000001,1
CRWD,2023-04-12 09:30:00,132.4273,131.71,133.1446,1
CRWD,2023-05-08 09:30:00,126.6,125.4,127.79999999999998,1
CRWD,2023-05-30 09:30:00,159.185,157.5016,160.8684,-1
CRWD,2023-10-19 09:30:00,189.4955,188.8025,190.18849999999998,-1
CRWD,2023-11-07 09:30:00,190.63,190.1001,191.1599,-1
CRWD,2023-11-14 09:30:00,203.87,203.5,204.24,1
FCX,2023-02-09 09:30:00,43.88,43.72,44.040000000000006,-1
FCX,2023-03-14 09:30:00,38.78,38.67,38.89,1
FCX,2023-04-11 09:30:00,41.045,40.92,41.17,-1
FCX,2023-05-08 09:30:00,37.4,37.17,37.629999999999995,-1
FCX,2023-05-17 09:30:00,36.06,35.97,36.150000000000006,-1
FCX,2023-05-26 09:30:00,34.779,34.675,34.88300000000001,1
